"filename", "language", "C++", "JSON", "JavaScript", "XML", "TypeScript", "JSON with Comments", "Rust", "Markdown", "vue", "MS SQL", "Shell Script", "C", "Dotenv", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/supabase/migrations/013_rename_studio_to_scale.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 3, 36
"/Users/user/Desktop/Struct/supabase/migrations/014_subscription_entitlements.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 3, 19, 159
"/Users/user/Desktop/Struct/supabase/migrations/015_telemetry_retention.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 10, 80
"/Users/user/Desktop/Struct/supabase/migrations/016_bulk_device_upload.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 8, 27, 230
"/Users/user/Desktop/Struct/supabase/migrations/017_settings_webhook_security.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 8, 34
"/Users/user/Desktop/Struct/supabase/migrations/018_protocol_v2_security_billing.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 417, 0, 0, 0, 0, 7, 50, 474
"/Users/user/Desktop/Struct/tcp-server/auth.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 60
"/Users/user/Desktop/Struct/tcp-server/crypto.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 11, 92
"/Users/user/Desktop/Struct/tcp-server/downlinks.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 100
"/Users/user/Desktop/Struct/tcp-server/ingest.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 42, 305
"/Users/user/Desktop/Struct/tcp-server/native-parser/build.rs", "Rust", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/user/Desktop/Struct/tcp-server/native-parser/index.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/Users/user/Desktop/Struct/tcp-server/native-parser/index.js", "JavaScript", 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 318
"/Users/user/Desktop/Struct/tcp-server/native-parser/package-lock.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/user/Desktop/Struct/tcp-server/native-parser/package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/user/Desktop/Struct/tcp-server/native-parser/src/lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 24, 224
"/Users/user/Desktop/Struct/tcp-server/package-lock.json", "JSON", 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 506
