"filename", "language", "JavaScript", "JSON", "TypeScript", "Rust", "XML", "Markdown", "vue", "Shell Script", "C", "MS SQL", "Dotenv", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/web/app/composables/useDevices.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/user/Desktop/Struct/web/app/composables/useOrganization.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/user/Desktop/Struct/web/app/layouts/auth.vue", "vue", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/user/Desktop/Struct/web/app/layouts/default.vue", "vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/user/Desktop/Struct/web/app/middleware/auth.global.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -24
"/Users/user/Desktop/Struct/web/app/middleware/auth.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/user/Desktop/Struct/web/app/pages/confirm.vue", "vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/user/Desktop/Struct/web/app/pages/dashboard/audit-logs.vue", "vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/user/Desktop/Struct/web/app/pages/dashboard/debugger.vue", "vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/user/Desktop/Struct/web/app/pages/dashboard/destinations.vue", "vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/user/Desktop/Struct/web/app/pages/dashboard/devices.vue", "vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/user/Desktop/Struct/web/app/pages/dashboard/index.vue", "vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/user/Desktop/Struct/web/app/pages/dashboard/organization.vue", "vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/user/Desktop/Struct/web/app/pages/dashboard/schema.vue", "vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/user/Desktop/Struct/web/app/pages/dashboard/settings.vue", "vue", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 8, 101
"/Users/user/Desktop/Struct/web/app/pages/index.vue", "vue", 0, 0, 0, 0, 0, 0, 1160, 0, 0, 0, 0, 0, 5, 142, 1307
"/Users/user/Desktop/Struct/web/app/pages/login.vue", "vue", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"/Users/user/Desktop/Struct/web/app/types/index.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"/Users/user/Desktop/Struct/web/nuxt.config.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/public/site.webmanifest", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/public/struct-logo-mini.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/server/api/billing/usage.get.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
